quote_number,gender,agecat,date_of_birth,credit_score,area,traffic_index,veh_age,veh_body,veh_value,age,claim_probability,claim,claim_amount,normalized_claim_probability,normalized_claim_amount,risk_profile_probability,risk_profile_cost,weighted_probability_score,weighted_cost_score,dynamic_combined_risk_score,risk_group
29323463,F,4,1968-04-14,750.0,C,124.5,2,HBACK,0.7419373447293773,49,0.0249786120735855,0,147.75191094021542,0.015004064933568269,0.0014934843770382199,Low,No Claim,0.0060016259734273075,0.00044804531311146595,0.006449671286538773,Low Risk
16732441,M,2,1984-10-04,567.0,F,118.0,3,STNWG,1.1246048689423631,33,0.4019778889604881,1,409.1171752109363,0.4458438973173889,0.008428765029815355,High,Low,0.2675063383904333,0.003371506011926142,0.27087784440235946,High Risk
68744228,M,4,1962-11-30,378.0,D,111.4,3,HDTOP,1.210153663401017,55,0.7682681597257102,1,9915.431346740466,0.8644453338067626,0.2606771153872712,High,High,0.5186672002840576,0.1564062692323627,0.6750734695164202,High Risk
30875047,F,3,1973-05-17,807.0,E,42.0,4,UTE,1.088225195781623,44,0.0149116647585713,0,412.32808470264825,0.0034994224588331888,0.008513965940264658,Low,No Claim,0.0013997689835332757,0.0025541897820793974,0.003953958765612673,Low Risk
37049210,M,6,1945-10-02,844.0,C,111.0,1,HBACK,1.088225195781623,72,0.1107466594912898,0,738.6975659889306,0.11302094039939775,0.017174121893035712,High,No Claim,0.06781256423963865,0.005152236567910713,0.07296480080754936,High Risk
90859532,M,1,1995-01-19,743.0,C,133.5,1,HBACK,1.128171090909654,22,0.1844358645465258,1,889.7262474205884,0.19723395273368702,0.02118164100721493,High,Medium,0.1183403716402122,0.010590820503607466,0.12893119214381968,High Risk
58572612,M,5,1953-03-27,647.0,F,156.0,3,HDTOP,1.3648153294427663,64,0.2300679705996433,1,1591.3103779199987,0.2493829358447177,0.039798050728394166,High,High,0.14962976150683063,0.023878830437036497,0.17350859194386714,High Risk
32679788,M,4,1964-09-20,785.0,A,80.7,2,SEDAN,1.0732944806838198,53,0.0483740223493498,0,309.6948964681216,0.04174065372756971,0.005790612603003752,Medium,No Claim,0.020870326863784854,0.0017371837809011254,0.02260751064468598,Medium Risk
90845095,F,1,1999-01-17,601.0,B,105.2,2,HBACK,0.887891257352457,18,0.2168132247911469,1,1236.7112234192705,0.23423523447621905,0.03038882543381655,High,High,0.14054114068573142,0.01823329526028993,0.15877443594602136,High Risk
97453004,F,3,1979-12-02,672.0,C,145.5,2,STNWG,1.5902550930173265,38,0.0535461634284632,0,459.3405918641966,0.047651445955055036,0.009761434429490973,Medium,No Claim,0.023825722977527518,0.002928430328847292,0.02675415330637481,Medium Risk
13843905,F,5,1956-09-10,654.0,C,133.5,4,SEDAN,0.6135627012171029,61,0.0610925844404725,0,291.7335186388881,0.05627559714908291,0.005314010647101619,Medium,No Claim,0.028137798574541455,0.0015942031941304855,0.02973200176867194,Medium Risk
35005918,M,2,1986-10-20,619.0,C,147.0,3,HBACK,0.6825916666204287,31,0.3592408130898326,1,424.1221187571998,0.39700339354578196,0.008826918529526877,High,Medium,0.23820203612746915,0.004413459264763438,0.2426154953922326,High Risk
98385091,M,5,1956-06-26,840.0,E,22.5,4,SEDAN,0.5894519442211802,61,0.0433044815869235,0,454.8063965192064,0.03594711451873476,0.009641120365034988,Medium,No Claim,0.01797355725936738,0.0028923361095104963,0.020865893368877876,Medium Risk
99135056,M,5,1956-02-27,741.0,A,57.3,4,HBACK,0.3722529739020508,61,0.0675472680698296,0,183.3567390608911,0.063652096212759,0.002438252138354081,Medium,No Claim,0.0318260481063795,0.0007314756415062242,0.032557523747885724,Medium Risk
30780507,F,3,1978-09-09,811.0,B,140.8,1,STNWG,1.6011839419477547,39,0.0342279862804393,0,1001.740979363823,0.025574373889708783,0.024153931932864758,Low,No Claim,0.010229749555883514,0.007246179579859427,0.017475929135742942,Medium Risk
78395567,M,6,1948-08-11,751.0,C,136.5,4,HBACK,0.216722983511287,69,0.1736232732700173,1,175.18175018172536,0.18487717833434728,0.0022213302670849857,High,Low,0.11092630700060836,0.0008885321068339944,0.11181483910744236,High Risk
75159402,F,4,1969-08-05,328.0,A,86.8,4,HBACK,0.8175747589349972,48,0.1781574860472813,1,1350.8472737721163,0.19005893753845055,0.03341740516496472,High,High,0.11403536252307032,0.02005044309897883,0.13408580562204916,High Risk
88324551,M,5,1959-12-27,813.0,A,62.7,1,SEDAN,1.3648153294427663,58,0.0598648792398847,0,1607.9092299373929,0.054872559171912805,0.04023849830499067,Medium,No Claim,0.027436279585956402,0.0120715494914972,0.0395078290774536,Medium Risk
84538742,F,5,1959-03-20,762.0,E,49.5,2,SEDAN,0.9951019122984448,58,0.0171459031491899,0,1324.9604221737204,0.00605274007171654,0.03273050217671716,Low,No Claim,0.002421096028686616,0.00981915065301515,0.012240246681701766,Low Risk
96341459,M,6,1941-07-06,841.0,D,155.0,4,SEDAN,0.3947411447451887,76,0.2928326661234842,1,201.77205241991035,0.3211112720962099,0.0029268991925446774,High,Low,0.19266676325772591,0.001170759677017871,0.1938375229347438,High Risk
35209135,M,4,1962-02-13,839.0,B,120.2,1,STNWG,1.5109426656850014,55,0.0965420062452875,0,655.3463033247634,0.09678767206500287,0.01496241101036621,High,No Claim,0.05807260323900172,0.004488723303109863,0.06256132654211158,High Risk
38851104,M,1,1992-01-18,719.0,A,87.1,1,TRUCK,1.3645343193373267,25,0.1885668088328872,1,2230.032672934712,0.20195485129513643,0.05674643286124205,High,High,0.12117291077708185,0.034047859716745225,0.15522077049382707,High Risk
97289087,M,1,1993-01-02,757.0,C,141.0,3,STNWG,1.3158718968233447,24,0.1869837361176765,1,265.54061125577294,0.2001456945537632,0.004618986523215194,High,Low,0.12008741673225791,0.0018475946092860775,0.12193501134154398,High Risk
58264138,F,4,1960-06-29,664.0,C,133.5,2,SEDAN,1.0192082658808412,57,0.0510267389483827,0,347.6927916280285,0.044772213852370624,0.006798879971217598,Medium,No Claim,0.022386106926185312,0.0020396639913652795,0.02442577091755059,Medium Risk
80238106,M,6,1931-02-06,759.0,A,61.9,4,HDTOP,0.7153977894947651,86,0.0838600600314962,0,766.2806831914011,0.08229457375943343,0.01790603498642762,Medium,No Claim,0.041147286879716714,0.005371810495928287,0.046519097375645004,Medium Risk
54346585,M,4,1964-07-28,774.0,A,46.5,3,HBACK,0.8510052651755257,53,0.0359461750440161,0,171.17630362557892,0.027537943064206878,0.002115046457397858,Medium,No Claim,0.013768971532103439,0.0006345139372193574,0.014403485469322796,Low Risk
53170392,F,6,1945-03-15,846.0,A,67.7,2,SEDAN,1.1065804583172865,72,0.0218797087489696,0,680.2406775539961,0.011462596631623197,0.015622978788707869,Low,No Claim,0.004585038652649279,0.00468689363661236,0.009271932289261639,Low Risk
53124568,F,4,1961-12-15,740.0,A,64.5,4,STNWG,0.4094571293777018,56,0.0158520583797091,0,130.72010507957225,0.004574116907722994,0.0010415484474618005,Low,No Claim,0.0018296467630891976,0.0003124645342385401,0.002142111297327738,Low Risk
18898186,F,4,1963-10-17,770.0,A,82.4,2,STNWG,1.6863989535702288,54,0.0181219045494432,0,391.1426799999921,0.0071681275683818275,0.007951815006530024,Low,No Claim,0.002867251027352731,0.002385544501959007,0.005252795529311738,Low Risk
89196246,M,5,1958-11-15,796.0,F,144.0,3,BUS,0.0,59,0.0978645287634701,0,229.23058151901432,0.09829906854502464,0.003655506362843652,High,No Claim,0.05897944112701478,0.0010966519088530956,0.060076093035867875,High Risk
41430497,M,3,1970-10-12,667.0,D,131.3,1,STNWG,1.4662601427577724,47,0.4776943346819799,1,2032.723139982376,0.5323736674875648,0.05151085960971981,High,High,0.31942420049253883,0.030906515765831883,0.3503307162583707,High Risk
18197837,M,3,1970-08-27,656.0,C,141.0,4,STNWG,1.0310469691723438,47,0.2244869686981254,1,219.36816838514147,0.24300489198309755,0.003393808990058122,High,Low,0.1458029351898585,0.001357523596023249,0.14716045878588177,High Risk
85253708,M,3,1972-09-20,580.0,F,76.0,2,SEDAN,1.0388622842623356,45,0.2170116391504848,1,725.4980409015596,0.23446198506848964,0.01682387484999532,High,Medium,0.14067719104109377,0.00841193742499766,0.14908912846609143,High Risk
77210696,M,3,1974-02-07,772.0,C,142.5,2,STNWG,1.6863989535702288,43,0.1197187082013079,0,327.6985639680076,0.12327431805646763,0.006268336707771023,High,No Claim,0.07396459083388057,0.001880501012331307,0.07584509184621188,High Risk
47370641,F,4,1968-02-02,821.0,E,42.0,4,COUPE,0.4021262068426498,49,0.0141278649703252,0,433.67968043037786,0.002603685543423325,0.009080526723196633,Low,No Claim,0.0010414742173693301,0.0027241580169589897,0.00376563223432832,Low Risk
56543451,F,4,1965-01-11,647.0,D,81.1,3,STNWG,1.3704190119616004,52,0.1030003090784277,0,706.4271856956049,0.10416830720332651,0.01631783310986272,High,No Claim,0.0625009843219959,0.0048953499329588155,0.06739633425495471,High Risk
39829405,F,3,1978-06-06,348.0,A,76.1,2,SEDAN,1.0112372091831088,39,0.1935000739973943,1,2961.090982791852,0.20759265292205786,0.07614493467268627,High,High,0.12455559175323472,0.04568696080361176,0.17024255255684648,High Risk
52918551,M,3,1974-07-19,703.0,A,51.1,4,SEDAN,0.4167347003663951,43,0.0751541482654803,0,186.2591966597543,0.07234534097312266,0.002515268332862821,Medium,No Claim,0.03617267048656133,0.0007545804998588462,0.036927250986420176,Medium Risk
57752513,M,5,1952-01-29,844.0,C,133.5,4,SEDAN,0.5521594872589679,65,0.1006015824933913,0,189.7517549638805,0.10142701027468086,0.0026079427442957555,High,No Claim,0.06085620616480851,0.0007823828232887267,0.06163858898809724,High Risk
19047298,F,1,1990-11-14,347.0,C,117.0,3,HBACK,0.8696183236757244,27,0.4403844847907752,1,1966.218474676864,0.4897354703904005,0.04974617018207268,High,High,0.2938412822342403,0.029847702109243607,0.32368898434348387,High Risk
63320870,F,6,1942-07-15,830.0,D,97.6,1,STNWG,1.4457418197633107,75,0.080137847083786,0,2003.7418197103789,0.07804077885634814,0.05074184544735533,Medium,No Claim,0.03902038942817407,0.015222553634206597,0.054242943062380665,Medium Risk
51895426,F,1,1994-01-30,731.0,C,141.0,3,HBACK,0.5894519442211802,23,0.0554555570351276,0,217.6799491000824,0.049833526589912094,0.0033490123925531525,Medium,No Claim,0.024916763294956047,0.0010047037177659457,0.025921467012721994,Medium Risk
32394168,F,5,1950-11-17,845.0,B,135.9,1,HBACK,1.0770481107522691,67,0.0360416881256406,0,1134.923630588102,0.027647096695527784,0.02768790981970662,Medium,No Claim,0.013823548347763892,0.008306372945911985,0.02212992129367588,Medium Risk
33583908,F,3,1978-12-05,668.0,C,120.0,2,HBACK,0.9745596399981308,39,0.0394454329418495,0,427.0633313303276,0.03153694194457496,0.00890496308036279,Medium,No Claim,0.01576847097228748,0.002671488924108837,0.018439959896396317,Medium Risk
93233684,F,3,1979-04-02,631.0,C,147.0,1,HBACK,0.8415671856782188,38,0.0633992795053805,0,819.1944383147475,0.05891171922160267,0.01931009203737768,Medium,No Claim,0.029455859610801334,0.005793027611213304,0.035248887222014635,Medium Risk
55780655,F,3,1971-01-01,331.0,D,94.5,3,HBACK,0.5584722772333437,46,0.4553698537184054,1,2521.70540182317,0.5068609510817779,0.06448591667997779,High,High,0.3041165706490667,0.03869155000798667,0.3428081206570534,High Risk
80053395,M,3,1979-06-25,788.0,C,133.5,2,HBACK,0.827240915040644,38,0.106885919703764,0,199.84339414782715,0.10860883516495148,0.002875722589419854,High,No Claim,0.06516530109897088,0.0008627167768259561,0.06602801787579683,High Risk
98173507,F,1,1991-02-20,653.0,A,55.6,4,HBACK,0.4731237565819792,26,0.0626368442186321,0,243.7183004131984,0.05804039794518351,0.004039935398699142,Medium,No Claim,0.029020198972591754,0.0012119806196097425,0.030232179592201498,Medium Risk
73469624,F,3,1977-02-03,678.0,A,71.4,2,STNWG,1.4247936602705005,40,0.0285148989125933,0,513.8382708414015,0.01904538098478259,0.011207520617288224,Low,No Claim,0.007618152393913036,0.0033622561851864674,0.010980408579099503,Low Risk
36596290,M,6,1938-09-26,849.0,A,89.3,3,SEDAN,0.8224195162640844,79,0.0791588668310973,0,357.26079454492543,0.076921987087148,0.0070527652214264335,Medium,No Claim,0.038460993543574,0.00211582956642793,0.04057682311000193,Medium Risk
93659873,M,1,1991-12-17,613.0,A,106.7,2,UTE,1.4194873284756546,26,0.4624222529270488,1,1611.7924778041868,0.5149205275298974,0.04034153959425939,High,High,0.3089523165179384,0.02420492375655563,0.33315724027449406,High Risk
32176678,F,2,1988-07-30,467.0,C,132.0,4,SEDAN,0.4239596907443287,29,0.243132010723243,1,456.84331669362814,0.2643126961975359,0.009695169678421508,High,Medium,0.15858761771852153,0.004847584839210754,0.16343520255773228,High Risk
25970449,M,5,1958-07-31,728.0,A,83.1,2,STNWG,1.5325568680981427,59,0.1026614161470715,0,742.4907312833075,0.10378101581394443,0.017274772857318512,High,No Claim,0.062268609488366655,0.005182431857195554,0.06745104134556221,High Risk
29099996,M,6,1945-06-29,302.0,E,43.5,3,SEDAN,0.9704000575211872,72,0.6119922924813942,1,20943.648409024438,0.6858511757352714,0.5533088874021751,High,High,0.41151070544116286,0.33198533244130507,0.743496037882468,High Risk
65484723,M,6,1945-11-05,739.0,C,132.0,4,HDTOP,0.9951019122984448,72,0.1569901892487379,1,905.7084959607052,0.16586866672411454,0.021605727120560657,High,Medium,0.09952120003446872,0.010802863560280328,0.11032406359474906,High Risk
77761140,M,2,1981-11-10,673.0,E,45.0,2,STNWG,1.678217427828926,36,0.0867057857524404,0,986.1624668329464,0.08554670729864372,0.023740558882486777,High,No Claim,0.05132802437918623,0.007122167664746033,0.058450192043932266,High Risk
